asset_ID,currency,image_URL,name,price,purchase_URL,quality
201000055,ETH,https://card.godsunchained.com/?id=203&q=1&w=512&png=true,Ares Peacemaker, 0.97,https://godsunchained.com/marketplace/search/(asset:details/203/1/your_contract_number/card),Diamond
201000056,ETH,https://card.godsunchained.com/?id=138&q=1&w=512&png=true,Hallowed Keeper, 0.179,https://godsunchained.com/marketplace/search/(asset:details/138/1/your_contract_number/card),Diamond
201000057,ETH,https://card.godsunchained.com/?id=221&q=4&w=512&png=true,Sit Down, 0.0004,https://godsunchained.com/marketplace/search/(asset:details/221/4/your_contract_number/card),Meteorite
201000058,ETH,https://card.godsunchained.com/?id=1085&q=4&w=512&png=true,Phase Touched Golem, 0.0599,https://godsunchained.com/marketplace/search/(asset:details/1085/4/your_contract_number/card),Meteorite
201000059,ETH,https://card.godsunchained.com/?id=377&q=1&w=512&png=true,Jackal, 0.09,https://godsunchained.com/marketplace/search/(asset:details/377/1/your_contract_number/card),Diamond
201000060,ETH,https://card.godsunchained.com/?id=362&q=1&w=512&png=true,Dimension Door, 0.495,https://godsunchained.com/marketplace/search/(asset:details/362/1/your_contract_number/card),Diamond
201000061,ETH,https://card.godsunchained.com/?id=299&q=1&w=512&png=true,Blacksmith Armourer, 0.495,https://godsunchained.com/marketplace/search/(asset:details/299/1/your_contract_number/card),Diamond
201000062,ETH,https://card.godsunchained.com/?id=1184&q=4&w=512&png=true,Tomb Blademaster, 0.01,https://godsunchained.com/marketplace/search/(asset:details/1184/4/your_contract_number/card),Meteorite
201000063,ETH,https://card.godsunchained.com/?id=169&q=4&w=512&png=true,Horus The Protector, 0.0645,https://godsunchained.com/marketplace/search/(asset:details/169/4/your_contract_number/card),Meteorite
201000064,ETH,https://card.godsunchained.com/?id=345&q=3&w=512&png=true,The Mastermind, 0.2,https://godsunchained.com/marketplace/search/(asset:details/345/3/your_contract_number/card),Shadow
201000065,ETH,https://card.godsunchained.com/?id=149&q=3&w=512&png=true,Tyet Heir To The Sky, 0.5,https://godsunchained.com/marketplace/search/(asset:details/149/3/your_contract_number/card),Shadow
