mile-svilar,Mile Svilar
joao-felix-sequeira,João Félix
francesco-acerbi,Francesco Acerbi
alessandro-ciranni,Alessandro Ciranni
danilo-luiz-da-silva,Danilo
francis-coquelin,Francis Coquelin
kevin-malcuit,Kévin Malcuit
paolo-duval-goltz,Paolo Goltz
victor-james-osimhen,Victor Osimhen
alvaro-gonzalez-soberon,Álvaro González
dieumerci-mbokani-bezua,Dieumerci Mbokani
ahmadou-bamba-dia,Ahmadou Dia
jelle-vossen,Jelle Vossen
hans-vanaken,Hans Vanaken
jordan-loties,Jordan Lotiès
noe-dussenne,Noë Dussenne
mergim-vojvoda,Mërgim Vojvoda
leo-dubois,Léo Dubois
sindrit-guri,Sindrit Guri
bilal-benkhedim,Bilal Benkhedim
mehdi-carcela-gonzalez,Mehdi Carcela
mike-vanhamel,Mike Vanhamel
ilya-gaponov,Ilya Gaponov
mark-noble,Mark Noble
alvaro-borja-morata-martin,Álvaro Morata
sven-kums,Sven Kums
selim-amallah,Selim Amallah
ciro-immobile,Ciro Immobile
goran-milovic,Goran Milović
jose-miguel-da-rocha-fonte,José Fonte
andres-mateus-uribe-villa,Mateus Uribe
etienne-green,Etienne Green
clinton-mua-n-jie,Clinton N'Jie
konstantin-kuchaev,Konstantin Kuchaev
pau-lopez-sabata,Pau López
lior-refaelov,Lior Refaelov
romario-manuel-silva-baro,Romário Baró
andreas-samaris,Andreas Samaris
carlos-vinicius-alves-morais,Carlos
felipe-salvador-caicedo-corozo,Felipe Caicedo
alex-meret,Alex Meret
francisco-leonel-lima-silva-machado,Chiquinho
charles-traore,Charles Traoré
ferran-torres-garcia,Ferrán Torres
matija-nastasic,Matija Nastasić
francis-amuzu,Francis Amuzu
aurelio-gabriel-ulineia-buta,Buta
jordan-veretout,Jordan Veretout
sven-bender,Sven Bender
olivier-deman,Olivier Deman
clinton-mukoni-mata-pedro-lourenco,Clinton Mata
theo-defourny,Théo Defourny
nurio-domingos-matias-fortuna,Nurio Fortuna
mats-rits,Mats Rits
jovane-eduardo-borges-cabral,Jovane Cabral
lucas-rougeaux,Lucas Rougeaux
luciano-vietto,Luciano Vietto
aleksandr-selikhov,Aleksandr Selikhov
kaveh-rezaei,Kaveh Rezaei
luis-carlos-novo-neto,Neto
mario-rui-silva-duarte,Mário Rui
ayrton-mboko,Ayrton Mboko
vadis-odjidja-ofoe,Vadis Odjidja-Ofoe
jenthe-maertens,Jenthe Mertens
jessy-moulin,Jessy Moulin
ivan-ordets,Ivan Ordets
pape-habib-gueye,Habib Guèye
zaydou-youssouf,Zaydou Youssouf
cheikh-ahmet-tidian-niasse,Cheikh Niasse
jonathan-david,Jonathan David
junior-udeme-pius,Junior Pius
ilombe-mboyo,Ilombé Mboyo
marc-bartra-aregall,Marc Bartra
tobe-leysen,Tobe Leysen
valentin-rongier,Valentin Rongier
aaron-cresswell,Aaron Cresswell
aldom-deuro,Aldom Deuro
duje-caleta-car,Duje Ćaleta-Car
damien-marcq,Damien Marcq
bas-van-den-eynden,Bas Van den Eynden
zelimkhan-bakaev,Zelimkhan Bakaev
leonardo-cesar-jardim,Leo Jardim
ivan-marcano-sierra,Ivan Marcano
abdoulaye-sissako,Abdoulaye Sissako
landry-nany-dimata,Landry Dimata
joakim-maehle,Joakim Mæhle
lucas-matias-licht,Lucas Licht
jasper-cillessen,Jasper Cillessen
jonathan-bamba,Jonathan Bamba
arjan-swinkels,Arjan Swinkels
dimitri-payet,Dimitri Payet
kai-havertz,Kai Havertz
dennis-appiah,Dennis Appiah
thomas-van-den-keybus,Thomas Van den Keybus
daniel-schmidt,Daniel Schmidt
nicolas-pallois,Nicolas Pallois
marcelo-antonio-guedes-filho,Marcelo
sami-khedira,Sami Khedira
silas-gnaka,Silas Gnaka
yohann-pele,Yohann Pelé
jordan-amavi,Jordan Amavi
sofiane-bouzian-hassan,Sofiane Bouzian
benjamin-van-durmen,Benjamin Van Durmen
abdoul-karim-dante,Abdoul Dante
